1322,274.8,459,,,,
1610,340.1,553,,,,
1735,376.2,594,,,,
1860,416,635,,,,
1975,470.8,672,,,,
2090,509.2,710,,,,
2205,556.2,748,,,,
2320,632.9,785,,,,
2436,705.3,823,,,,
2551,795.4,861,,,,
2676,874.7,902,,,,
2791,994.6,939,,,,
2925,1156.2,983,,,,
3050,1358.3,1024,,,,
